Largest Degree when deleted:,5
Terminal Clique Size:,5
Time to order( microseconds ):,6
Time to color( microseconds ):,1
vert,color
0,0
1,3
2,0
3,1
4,0
5,4
6,1
7,5
8,6
9,2
Color Order, Degree when Deleted
0,3
1,4
2,4
3,5
4,4
5,4
6,3
7,2
8,1
9,0
